interaction_id,session_id,user_id,timestamp_utc,split,channel,use_case,country_code,region,account_tier,segment,instruction_template,model_provider,model_name,temperature,top_p,max_tokens,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,response_quality_score,is_failure,failure_type,hallucination_flag,toxicity_flag,safety_block_flag,formatting_error_flag,tool_error_flag,latency_timeout_flag,tool_calls_count,tools_used,user_feedback_score,user_feedback_label,user_reported_issue,retry_index,repair_strategy,final_resolution_state,business_impact_tag,request_text,response_text_snippet,tokens_per_second,date_utc,hour_of_day_utc,day_of_week,is_weekend,is_peak_hour,prompt_to_completion_ratio,request_text_template,instruction_text,user_feedback_observed,prompt_id,response_text_snippet_len_chars,response_text_snippet_is_truncated
INT000011,S00575,U00186,2025-04-19 07:14:45+00:00,train,slack,brainstorming,IN,APAC,free,enterprise_team,analytics_helper,openai,gpt-4.1,0.546,0.954,1536,476,80,556,1126,0.2224,0.76,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,high,Can you help me debug this? Brainstorm taglines for a productivity app that helps engineers stay focused. Please explain step by step.,"Below is a practical plan you can execute. Goal: handle LLMOps dashboards reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Prefer simple...",493.7833037300178,2025-04-19,7,5,True,False,5.95,Brainstorm taglines for a productivity app that helps engineers stay focused.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",True,2df52d847c72d1f6b37061123acb53282123086b,246,True
INT000012,S00434,U00375,2025-04-09 07:56:58+00:00,train,slack,data_analysis,BR,AMER,pro,team,support_strict,openai,gpt-4o-mini,0.163,0.957,2048,1278,239,1517,888,0.03032,0.93,False,none,False,False,False,False,False,False,2,email_send|knowledge_lookup,1.0,positive,False,0,none,auto_resolved,low,Quick question: Help me compute the conversion rate per marketing channel and highlight the top 3 performers. Can you walk me through a good solution?,"Here's the clean way to approach it. Goal: handle latency p95 reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for latency p95 and add tests before optimizing. -...",1708.3333333333333,2025-04-09,7,2,False,False,5.3473,Help me compute the conversion rate per marketing channel and highlight the top 3 performers.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,a15ac130f4f428f0efac738d5c68655674fccc6e,229,True
INT000013,S00721,U00239,2025-03-26 09:21:58+00:00,train,web_app,content_writing,IN,APAC,free,individual,analytics_helper,google,gemini-1.5-pro,0.838,1.0,1536,547,164,711,790,0.22752,0.77,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,medium,I'm working on something and need help: Write a concise product description for a new wireless mouse aimed at software developers.,"Here's the clean way to approach it. Goal: handle A/B testing reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for A/B testing and add tests before optimizing. - Prefer simple...",900.0,2025-03-26,9,2,False,True,3.3354,Write a concise product description for a new wireless mouse aimed at software developers.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",False,9716fa3b2c6fe39ac0f75ddaad781dfa757a0de9,243,True
INT000014,S01569,U00386,2025-02-10 08:04:10+00:00,train,web_app,content_writing,IN,APAC,free,individual,analytics_helper,meta,llama-3.1-70b,0.622,1.0,768,750,430,1180,1357,0.236,0.782,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,low,"Draft a friendly email announcing a small price increase to our existing customers. I'd like a practical, engineering-focused answer.","Below is a decision-focused breakdown. Goal: handle tool calling reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Prefer simple baselines...",869.5652173913044,2025-02-10,8,0,False,False,1.7442,Draft a friendly email announcing a small price increase to our existing customers.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",False,9716fa3b2c6fe39ac0f75ddaad781dfa757a0de9,243,True
INT000015,S01102,U00385,2025-02-21 08:49:48+00:00,train,internal_tool,coding_assistant,EG,EMEA,free,team,creative_writer,openai,gpt-4o-mini,0.173,0.882,1536,1099,746,1845,2638,0.03692,0.835,False,none,False,False,False,False,False,False,2,email_send|http_request,1.0,positive,False,0,none,auto_resolved,high,"I need help understanding why this asynchronous code is not awaiting correctly. Explain with a small code snippet. I'd like a practical, engineering-focused answer.","Here's the clean way to approach it. Goal: handle rate limiting reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for rate limiting and add tests...",699.3934799090221,2025-02-21,8,4,False,False,1.4732,I need help understanding why this asynchronous code is not awaiting correctly. Explain with a small code snippet.,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,83c939e9b891e505ac06548e158556e919317a64,212,True
INT000016,S00917,U00027,2025-04-02 16:41:28+00:00,train,web_app,customer_support,GB,EMEA,free,team,support_strict,local,custom-local-8b,0.554,0.964,1536,874,378,1252,1357,0.005,0.98,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,medium,"Our customer is getting an error when trying to log in to their account. Can you help me debug this? I'd like a practical, engineering-focused answer.","This is a common pattern; the fix is straightforward. Goal: handle slow responses reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Start by writing a small...",922.623434045689,2025-04-02,16,2,False,True,2.3122,Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,d029d0919f8e306d09ca7001d500c1e6f1c81007,260,True
INT000017,S01307,U00250,2025-04-28 02:49:12+00:00,train,web_app,internal_qa,IN,APAC,free,individual,code_assistant_secure,meta,llama-3.1-70b,0.556,0.878,1024,902,439,1341,953,0.2682,0.667,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,escalated_to_human,medium,"Check this draft announcement for any confusing or inconsistent statements. I'd like a practical, engineering-focused answer.","I'll keep this concrete and measurable. Goal: handle safety flags reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for safety flags and add tests before optimizing. - Add telemetry...",1407.1353620146906,2025-04-28,2,0,False,False,2.0547,Check this draft announcement for any confusing or inconsistent statements.,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",False,aa53b49d0d254b7716206a79226e020b55eab93b,248,True
INT000018,S01086,U00404,2025-04-13 22:03:28+00:00,test,api,coding_assistant,IN,APAC,free,team,creative_writer,openai,gpt-4o-mini,0.153,0.929,256,987,256,1243,1465,0.02488,0.852,False,none,False,False,False,False,False,False,2,http_request|sql_query,1.0,positive,False,0,none,auto_resolved,medium,Write a small example that shows how to handle exceptions properly in Python. Can you walk me through a good solution?,"This is a common pattern; the fix is straightforward. Goal: handle FastAPI endpoint design reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly....",848.4641638225255,2025-04-13,22,6,True,False,3.8555,Write a small example that shows how to handle exceptions properly in Python.,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,83c939e9b891e505ac06548e158556e919317a64,247,True
INT000019,S00625,U00318,2025-02-04 07:00:32+00:00,val,mobile_app,data_analysis,AU,APAC,enterprise,enterprise_team,general_assistant,anthropic,claude-3.5-sonnet,0.22,0.85,1024,479,78,557,440,0.17824,0.792,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,abandoned,low,I'm stuck on this and need some guidance: Help me compute the conversion rate per marketing channel and highlight the top 3 performers.,"I'll keep this concrete and measurable. Goal: handle token usage reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Use schema validation (e.g.,...",1265.909090909091,2025-02-04,7,1,False,False,6.141,Help me compute the conversion rate per marketing channel and highlight the top 3 performers.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",False,0af51e7e9a94eeacb4db5e80369428b0b639dc4e,247,True
INT000020,S00050,U00387,2025-02-10 07:54:33+00:00,train,api,customer_support,AE,EMEA,free,individual,code_assistant_secure,meta,llama-3.1-70b,0.748,0.882,1536,534,228,762,1162,0.1524,0.594,True,tool_error,False,False,False,False,True,False,1,tool_invocation_failed,-1.0,negative,True,1,manual_post_edit,escalated_to_human,high,"Can you help me debug this? Follow-up: the previous reply did not fully solve the issue. A user says they were double charged this month. Help me draft a clear explanation and next steps. A short, clear answer would be ideal.",We can make this robust with a few changes. Let's stabilize it. Signal: tool_error while working on unexpected charge. Quick diagnosis: Implement a fallback path when the tool is degraded. Recommended actions: - Introduce fallback routing...,655.7659208261618,2025-02-10,7,0,False,False,2.3421,Follow-up: the previous reply did not fully solve the issue. A user says they were double charged this month. Help me draft a clear explanation and next steps.,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,1a8e13c1d6c8047debb9a230bf3ae08524ccb884,241,True
INT000021,S00214,U00116,2025-02-18 14:44:13+00:00,train,web_app,customer_support,BR,AMER,enterprise,individual,analytics_helper,google,gemini-1.5-pro,0.377,0.901,1024,353,430,783,1389,0.25056,0.862,False,none,False,False,False,False,False,False,2,code_run|workflow_orchestrator,1.0,positive,False,0,none,auto_resolved,medium,"Context for you: I need a short, friendly reply to a customer who is asking about the status of their refund. I'd like a practical, engineering-focused answer.","Here's the clean way to approach it. Goal: handle data export request reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from...",563.7149028077754,2025-02-18,14,1,False,True,0.8209,"I need a short, friendly reply to a customer who is asking about the status of their refund.","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,598eba0ae15195966a9835b68c542f0b34fb88e4,209,True
INT000022,S00975,U00120,2025-04-30 16:16:27+00:00,train,web_app,brainstorming,GB,EMEA,free,individual,code_assistant_secure,openai,gpt-4.1,0.491,0.893,1024,456,704,1160,757,0.4639999999999999,0.94,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,medium,"I'm stuck on this and need some guidance: Suggest a few content ideas for our next newsletter aimed at early-stage startups. A short, clear answer would be ideal.","Let's turn this into a reliable workflow. Goal: handle knowledge base search reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Add telemetry fields...",1532.3645970937912,2025-04-30,16,2,False,True,0.6477,Suggest a few content ideas for our next newsletter aimed at early-stage startups.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",True,9886b059d7fa547dc6fd91d4a5c80abdb317022d,251,True
INT000023,S01472,U00439,2025-02-23 16:54:30+00:00,train,api,brainstorming,GB,EMEA,free,individual,internal_policy_qa,mistral,mistral-large,0.23,0.872,2048,203,80,283,1354,0.03396,0.964,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,abandoned,low,Quick question: Brainstorm taglines for a productivity app that helps engineers stay focused.,"Let's turn this into a reliable workflow. Goal: handle developer productivity reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Use schema...",209.01033973412112,2025-02-23,16,6,True,True,2.5375,Brainstorm taglines for a productivity app that helps engineers stay focused.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",False,64f5ffde54eb84c78cab2d2147174c299cd15237,247,True
INT000024,S00521,U00363,2025-04-16 14:44:56+00:00,train,web_app,brainstorming,FR,EMEA,pro,individual,general_assistant,google,gemini-1.5-pro,0.506,0.853,2048,396,191,587,552,0.1878399999999999,0.682,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,low,"Quick question: Brainstorm taglines for a productivity app that helps engineers stay focused. I'd like a practical, engineering-focused answer.","We can make this robust with a few changes. Goal: handle cost optimization reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for cost optimization and add tests before...",1063.4057971014493,2025-04-16,14,2,False,True,2.0733,Brainstorm taglines for a productivity app that helps engineers stay focused.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",False,62cac6cf36e4ae3f199823b7f2ca46aa5e4a0aa7,234,True
INT000025,S00228,U00388,2025-03-19 06:59:28+00:00,val,slack,customer_support,GB,EMEA,pro,individual,analytics_helper,google,gemini-1.5-pro,0.593,0.921,512,172,28,200,706,0.064,1.0,False,none,False,False,False,False,False,False,0,none,1.0,positive,False,0,none,auto_resolved,low,"I'm working on something and need help: I need a short, friendly reply to a customer who is asking about the status of their refund.","This is a common pattern; the fix is straightforward. Goal: handle data export request reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Start by writing a...",283.28611898017,2025-03-19,6,2,False,False,6.1429,"I need a short, friendly reply to a customer who is asking about the status of their refund.","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,598eba0ae15195966a9835b68c542f0b34fb88e4,260,True
INT000026,S00849,U00196,2025-03-20 16:47:08+00:00,train,web_app,brainstorming,GB,EMEA,free,team,creative_writer,anthropic,claude-3.5-sonnet,0.343,0.968,768,22,241,263,1223,0.08416,0.878,False,none,False,False,False,False,False,False,0,none,1.0,positive,False,0,none,auto_resolved,medium,Give me ten creative ideas for a YouTube series about learning data science from scratch.,"Let's break this down into actionable steps. Goal: handle knowledge base search reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for knowledge base search and add tests before...",215.0449713818479,2025-03-20,16,3,False,True,0.0913,Give me ten creative ideas for a YouTube series about learning data science from scratch.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",True,6f52c3b4cdce68aa614a61f324617ae8d0e91690,243,True
INT000027,S00800,U00225,2025-03-06 19:56:22+00:00,train,internal_tool,data_analysis,AU,APAC,free,team,internal_policy_qa,meta,llama-3.1-70b,0.209,0.894,256,243,167,410,2086,0.082,0.98,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,critical,I'm working on something and need help: I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type. Can you walk me through a good solution?,"Here's the clean way to approach it. Goal: handle latency p95 reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for latency p95 and add tests before...",196.5484180249281,2025-03-06,19,3,False,False,1.4551,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,62646e5a7026d4f68ab1867a730451326aa3b664,215,True
INT000028,S01331,U00061,2025-02-04 01:17:36+00:00,train,web_app,data_analysis,EG,EMEA,pro,enterprise_team,analytics_helper,anthropic,claude-3.5-sonnet,0.145,0.91,2048,1046,698,1744,638,0.55808,0.688,False,none,False,False,False,False,False,False,3,code_run|sql_query|workflow_orchestrator,2.0,positive,False,0,none,auto_resolved,low,"I'm working on something and need help: I want a short summary of key metrics for this dataset: total users, active users, and average revenue per user. Can you walk me through a good solution?","Here's what I'd implement in production. Goal: handle token usage reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Prefer simple...",2733.5423197492164,2025-02-04,1,1,False,False,1.4986,"I want a short summary of key metrics for this dataset: total users, active users, and average revenue per user.","You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,fbaac57cdb64395ff60fbf79b148e22caaff1431,234,True
INT000029,S01379,U00384,2025-04-15 22:10:12+00:00,train,web_app,data_analysis,US,AMER,free,team,creative_writer,meta,llama-3.1-8b,0.192,0.838,1536,555,456,1011,626,0.06064,0.98,False,none,False,False,False,False,False,False,1,sql_query,0.0,neutral,False,0,none,auto_resolved,low,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type. Please explain step by step.,"Let's make the behavior deterministic and observable. Goal: handle error rate reliably, with guardrails for formatting and failure handling. Plan: - Start by writing a small function boundary for error rate and add tests before...",1615.0159744408943,2025-04-15,22,1,False,False,1.2171,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,814335a175319858ca540d38bfcac020ec643c3f,230,True
INT000030,S00699,U00011,2025-04-05 21:57:08+00:00,train,mobile_app,customer_support,BR,AMER,pro,team,analytics_helper,openai,gpt-4.1,0.427,0.929,1024,1075,230,1305,1872,0.522,0.971,False,none,False,False,False,False,False,False,3,email_send|knowledge_lookup|vector_search,2.0,positive,False,0,none,auto_resolved,low,"Quick question: I need a short, friendly reply to a customer who is asking about the status of their refund. A short, clear answer would be ideal.","Let's make the behavior deterministic and observable. Goal: handle missing feature reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Prefer simple baselines...",697.1153846153845,2025-04-05,21,5,True,False,4.6739,"I need a short, friendly reply to a customer who is asking about the status of their refund.","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",True,598eba0ae15195966a9835b68c542f0b34fb88e4,261,True
INT000031,S00883,U00426,2025-04-18 17:05:08+00:00,val,api,customer_support,FR,EMEA,free,team,general_assistant,meta,llama-3.1-70b,0.708,0.94,512,172,115,287,2764,0.0574,0.747,False,none,False,False,False,False,False,False,2,knowledge_lookup|sql_query,,no_feedback,False,0,none,auto_resolved,low,"Can you help me debug this? I need a short, friendly reply to a customer who is asking about the status of their refund. Please explain step by step.","Let's break this down into actionable steps. Goal: handle data export request reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Use schema validation...",103.83502170767004,2025-04-18,17,4,False,True,1.4957,"I need a short, friendly reply to a customer who is asking about the status of their refund.","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,a52fb80193c7c0769c0836852624f4b025a04d2a,253,True
